epoch,total,pde,phi,pi,bc,lambda_phi,lambda_pi,lambda_bc
38000,1.684843954064888e-05,1.4791548841291528e-05,6.64192243865247e-07,1.717787004093989e-07,1.1826565004739394e-06,4.664167227842871,5.0,0.009999108910008919
39000,1.562754018462046e-05,1.3300220284000049e-05,5.925957235009666e-07,1.9904089578153864e-07,1.283354050789208e-06,4.355773011184646,4.992135111447067,0.09910801980109811
40000,1.4772797662709319e-05,1.1665887816648097e-05,5.811852560693282e-07,1.1067680248505133e-07,4.525356254799016e-07,4.931585724147403,5.0,0.010891089108901098
41000,2.066668776856267e-05,1.2467622139626323e-05,8.313747358464953e-07,1.2856632300584042e-06,1.2976363020103167e-06,3.1984581127440057,5.0,0.091089019899902
42000,1.5582950652270328e-05,1.1699086290195158e-05,1.0615420536082392e-06,8.980516245617426e-08,6.495859426902056e-07,1.3233049388310327,5.0,0.0010000008910009
43000,1.4475716676603662e-05,1.1374396058119579e-05,5.05747520432744e-07,1.662803599814459e-07,6.176726916224762e-07,4.948702377016796,5.0,0.001
44000,1.3699458827463821e-05,1.104633745962267e-05,5.433889230127718e-07,1.735922779439425e-07,3.8587662965714035e-07,3.4475761988286204,5.0,0.010890100891000891
45000,1.3895220415818513e-05,1.1160445318503825e-05,4.794575754885457e-07,8.189959049200808e-08,5.158663612502992e-07,4.672571135691198,5.0,0.010801009810890189
46000,1.5515389834883703e-05,1.1297052830435163e-05,7.45062033432053e-07,1.4474141643347998e-07,4.982560977421376e-07,1.9129847320539453,5.0,0.09108910891089021
47000,1.710760407702098e-05,1.3569209347113314e-05,4.665913859756497e-07,4.681570037160991e-07,8.739984990522583e-07,4.737958855685261,5.0,0.010890198910890197
48000,1.2399667743253768e-05,9.824567333968009e-06,4.611415711874454e-07,1.5727500509189866e-07,1.15184272797752e-06,4.250915249650296,5.0,0.09991090000000001
49000,1.1729942277627607e-05,9.11564716131929e-06,4.6514163651445377e-07,1.4268025151427072e-07,2.778376615046472e-07,3.276091157303763,5.0,0.001
50000,1.1027629691882048e-05,8.782084257243731e-06,3.675313877017935e-07,1.1139526479518757e-07,4.781666727777021e-07,4.9593039590332735,5.0,0.0010009891081089993
51000,1.1993075877004854e-05,8.423881553652504e-06,5.384196053574698e-07,3.2392742030854395e-07,2.3497899199603718e-06,1.4206094796198308,5.0,0.09901980198019891
52000,1.1090916743438042e-05,8.278229572175268e-06,5.265529922615443e-07,9.183804038480771e-08,5.16427884465816e-07,2.1475104461297865,5.0,0.09990109000089101
53000,1.2601765452794606e-05,9.358802216335462e-06,5.541022952336907e-07,1.2599440074220233e-07,1.297871294422991e-06,1.7261696941048208,5.0,0.090198901980101
54000,9.316808096424939e-06,7.78383202566895e-06,3.4398061793158404e-07,5.685240873436133e-08,8.692652999218813e-07,4.862765987175718,5.0,0.09010000891000902
55000,1.1564738716960195e-05,9.35132626288418e-06,4.251531261200015e-07,3.4120064202976904e-07,2.1790688452834265e-06,4.618834871974146,5.0,0.0010000000900890198
56000,8.506076204920647e-06,6.976665140766122e-06,3.4982094399670565e-07,1.421438805610144e-07,5.696624976683636e-07,2.3983645978006085,5.0,0.0999999999108902
57000,1.1278791542608608e-05,8.517479282162924e-06,4.2475556953345115e-07,3.358796574498149e-07,2.521285244212788e-07,3.6058889223082593,5.0,0.001
58000,1.0215210294870525e-05,6.967281944682135e-06,4.639324837387077e-07,3.0017221837490453e-07,3.077009707416388e-07,1.8660495698626478,5.0,0.010890198901980107
59000,7.731886451359363e-06,6.67037881290969e-06,3.011093290293562e-07,1.0578430512887233e-07,1.5542866823170547e-06,4.6298552062666865,5.0,0.0991089999108109
60000,6.815237079732943e-06,6.015905236391237e-06,3.0739860343498543e-07,6.866907848197095e-08,1.9539474391521307e-07,4.648273626195682,5.0,0.001
61000,7.842910667317613e-06,6.334095108870677e-06,3.0760007965305255e-07,4.269231346491424e-08,5.13373964442887e-07,2.681506051759541,5.0,0.0901000000891001
62000,8.165522654305657e-06,6.0652670367334006e-06,3.3008744432239806e-07,1.0336479647391315e-07,2.387422155260698e-07,2.387949839594479,5.0,0.001
63000,9.65755949543031e-06,6.152550953052593e-06,5.872259590503651e-07,1.3695543925965163e-07,1.0334746903085013e-06,2.1985953493387607,5.0,0.0108901000980198
64000,8.100832474672622e-06,5.6502110249458765e-06,2.8901252301101774e-07,2.1575112527534758e-07,2.3086457994072684e-07,3.7354910399069805,5.0,0.0019890198010989106
65000,7.3981933186482905e-06,5.856307035123479e-06,2.466803368975579e-07,6.123612072831982e-08,2.1313450630010612e-07,4.999999927623125,5.0,0.00198108910891089
66000,8.634425238854909e-06,5.303213308598537e-06,4.951779000633006e-07,1.3608848446802324e-07,1.0266946228578208e-05,1.7910583288239053,5.0,0.09910899108991089
67000,6.356675358530014e-06,5.653375169532722e-06,2.7972051571268323e-07,3.582282073640869e-08,1.4703857715587625e-06,4.414393986992524,5.0,0.099108901989109
68000,7.938564164325627e-06,5.247075009665584e-06,4.420058236024851e-07,9.48862679594229e-08,1.36789681184351e-06,1.2720141702567243,5.0,0.09990198901989021
69000,6.425973685245334e-06,5.139739403653855e-06,2.2479341811126747e-07,1.4367846211582988e-07,5.103846582551674e-07,4.7319247343417175,5.0,0.09910890100008911
70000,6.824604434994417e-06,4.953098574701646e-06,2.6335324035481e-07,1.1746126197706243e-07,6.397101847892282e-07,2.4001317944018568,5.0,0.09019810890198021
71000,6.571993725478041e-06,4.956707252697161e-06,2.8987079248428373e-07,5.1854273417038875e-08,2.9907568713184473e-07,1.3647811976750577,5.0,0.09019801000000001
72000,7.369199173976629e-06,5.147076715417662e-06,4.3549982805233246e-07,4.4728522470191684e-08,2.1384819250987456e-07,1.4464906725817446,5.0,0.00100891
73000,6.526554608943608e-06,4.8370637638604616e-06,3.3186594813040754e-07,9.038573387275272e-08,3.30962946869886e-07,1.2260738105181694,5.0,0.09991089019801982
74000,6.9304253789701036e-06,5.06124173707212e-06,6.16406158242516e-07,4.079279122623653e-08,1.9313537551900064e-07,1.1474300630957568,5.0,0.001
75000,5.054539993907142e-06,4.521112374354398e-06,2.1819617243291194e-07,3.1458443783512274e-08,1.351344043529611e-07,2.842885992091522,5.0,0.0010000000000000009
76000,5.667351075420445e-06,4.432470487170981e-06,2.206964514442865e-07,2.680590272792628e-08,1.222395513529625e-07,1.9576993572968104,5.0,0.001
77000,5.42638133246498e-06,4.245678873623274e-06,1.9973438863013077e-07,4.1644880164084074e-08,1.6044616038436834e-07,4.9868053110581,5.0,0.001
78000,5.694143432368974e-06,4.529084624032209e-06,2.0423414139918522e-07,2.946855420573116e-08,1.2363049091803838e-07,4.998188607196346,5.0,0.001098019801000891
79000,5.0273521678901666e-06,4.129570828180859e-06,2.1542380202725237e-07,3.553376956875182e-08,1.40550099996003e-07,4.555190207328731,5.0,0.09910809910000892
80000,4.866746063476113e-06,4.307069536448305e-06,2.130930422899741e-07,3.007500494668134e-08,1.7551103859883127e-07,1.8411741385281362,5.0,0.0010000000098108902
81000,2.9374225706434896e-06,2.4507249903768267e-06,2.9763156305081007e-07,6.917217646677594e-09,1.7169055941750234e-07,0.7260019254381919,5.0,0.0999100000890101
82000,2.6886714989548237e-06,2.4690671741398302e-06,1.010906624932779e-07,1.037956670547685e-08,1.791975930676492e-07,1.1554043563811056,5.0,0.09901000980100001
83000,2.604920221709302e-06,2.3793031047223654e-06,9.701927014416881e-08,7.472994316142261e-09,1.4820050927581358e-07,2.367668752309944,5.0,0.001000891891009802
84000,2.807806658313386e-06,2.3806911814023195e-06,7.8602117077436e-08,8.947487578099406e-09,2.666079337071219e-07,2.2459475917972362,5.0,0.09910891089019802
85000,2.8267415467129626e-06,2.303865692973377e-06,1.7340354057984615e-07,1.5050207469845333e-08,1.369561896255334e-07,1.5004165495162038,5.0,0.00991000008910089
86000,2.424100765545948e-06,2.187561257349636e-06,6.770712961237344e-08,1.2433569131166174e-08,1.396795334394651e-07,1.7103385589494302,5.0,0.001000009801989108
87000,2.377009871498779e-06,2.1387700314180827e-06,2.1626676581393805e-07,7.760582291019543e-09,1.3441307698024522e-07,0.8022939671281459,5.0,0.010801098910899108
88000,2.5725638011237833e-06,2.242487212360343e-06,8.915971901374456e-08,2.117315997017077e-08,1.3751672508051068e-07,3.2968388543114133,5.0,0.0018910089100000085
89000,2.3868160675255498e-06,2.1034905983168397e-06,8.703490272624188e-08,2.237459264962906e-08,1.3255693954082702e-07,2.33513512983335,5.0,0.00108910009801
