epoch,total,pde,phi,pi,bc,gphi,gpi,lambda_phi,lambda_pi,lambda_bc,lambda_gphi,lambda_gpi
10000,0.001008803565868916,0.00047627531056002585,0.0002084984073791106,4.698682403538463e-06,0.0007805641753174078,7.047771812032516e-05,5.655904504615418e-05,1.2886508047092295,10.0,0.09999108010900803,1.0,1.0
11000,0.0006382055425325782,0.00028586804273118263,9.453711538401511e-06,6.655268944669815e-06,7.178497762957606e-05,0.00011581205373737902,0.00012076715902484528,2.112462680029792,9.999999999999975,0.09991089108910901,1.0,1.0
12000,0.000791506420531894,0.00024583762901388834,1.7710018515775384e-05,1.2662727150127058e-05,0.00011042192745531856,4.373140373523752e-05,0.0003416368952755822,1.170612326346821,10.0,0.0991081080198109,1.0,1.0
13000,0.000404137408880729,0.0002942779485632382,7.792730247050923e-06,1.0933612266778357e-06,5.5278617747329495e-05,1.3698319398988435e-05,1.8312691041703688e-05,2.70655193379096,10.0,0.09991089999019802,1.0,1.0
14000,0.0008350463283872801,0.0005049820256300897,1.0757128494114199e-05,7.1497284195777995e-06,0.00024380055134987018,0.00011684205880015335,8.391021527111758e-05,2.6117529469859226,10.0,0.09109,1.0,1.0
15000,0.00038436125208074295,0.00019710730041086022,1.3378079559364018e-05,1.8214943222702306e-06,0.00029234791218148273,3.252381220025025e-05,3.658933635012622e-05,2.349600582753955,10.0,0.09999991089108912,1.0,1.0
16000,0.0003653564119125042,0.00022545336704258298,1.0084208437099158e-05,1.2777740766937529e-06,3.1641213309406696e-05,8.694908108404327e-05,1.5586083996246586e-05,2.937605899352247,10.0,0.09108108999999912,1.0,1.0
17000,0.00025541271965681694,0.00014455761410894812,8.867145516874492e-07,2.5664838978182756e-06,2.549947040551739e-05,9.523359516631584e-06,6.89973024397075e-05,4.764566288774631,10.0,0.09999999999108912,1.0,1.0
18000,0.005461188761695032,0.002324833607429249,3.078392402599463e-05,7.350195592236378e-05,2.983832860177096e-05,0.000340430438347432,0.0018621394128239556,4.119438665023221,9.999998127040278,0.001000009810810811,1.0,0.9999687695122954
19000,0.00015079970847684562,0.0001075394391689174,1.7187970035260083e-06,8.819276496624014e-07,5.1512512653312575e-06,1.075766630646394e-05,1.561096014446127e-05,2.4443891765908723,10.0,0.010891089999999999,1.0,1.0
20000,0.0002021530923306615,0.00010002056061690101,6.1788518380552835e-06,2.244023642588765e-06,6.1216782188542545e-06,4.4995129420912964e-05,2.1894899102406666e-05,1.8486088651384625,10.0,0.010810891081089019,1.0,1.0
21000,7.494489205825464e-05,5.512571415011144e-05,7.149972546540228e-07,2.0638070218604423e-07,8.036384092046206e-06,1.2080462732117248e-05,3.008442055626581e-06,7.084843267442796,10.0,0.09108910890199001,1.0,1.0
22000,6.753327871740081e-05,4.885108764041158e-05,2.0554023647934847e-06,2.640289453502749e-07,1.3508207612677962e-05,5.015923588879345e-06,4.671949667639531e-06,2.957126083882322,10.0,0.09901980189108912,1.0,1.0
23000,9.522082663388561e-05,3.923566431642374e-05,8.353914133264592e-07,1.4891351334933274e-06,1.1873148405753252e-05,4.482245089579508e-06,3.4037046907300336e-05,2.802051795025082,10.0,0.0901981089019811,1.0,1.0
24000,7.06591789279959e-05,4.411461457014763e-05,4.6852100073154264e-07,5.483626337281887e-07,3.295670188957299e-05,5.82485165106814e-06,1.0056042953658425e-05,11.502912451348996,10.0,0.09910891089019892,1.0,1.0
25000,5.57124721019929e-05,3.371867144416409e-05,6.199706468166242e-07,5.384170171066033e-07,1.2221183904057793e-06,5.340080982924713e-06,9.960680127779606e-06,7.557067903646137,10.0,0.010890109801981,1.0,1.0
26000,0.00010604081531202065,2.8115794829951982e-05,8.353810235486687e-07,1.7316482433977756e-06,5.214028999362015e-06,1.3689365397641525e-05,4.273633424046007e-05,4.262735150430858,10.0,0.09999108999901991,1.0,1.0
27000,5.72914268227474e-05,3.3306170250190853e-05,7.59048027695662e-07,2.757121080399952e-07,3.7379573597415113e-06,1.143338053931606e-05,5.843928709609235e-06,3.6121666545006628,10.0,0.0901098019899911,1.0,1.0
28000,8.094374418022981e-05,2.650816602604912e-05,1.2041287651807168e-05,3.358786207940288e-07,4.3371541650730424e-06,2.137662513667072e-05,2.704089867752892e-06,1.1517580612209306,10.0,0.0019801090089991077,1.0,1.0
29000,6.453916060998683e-05,2.0630515860087063e-05,2.2687398009188647e-06,1.04270218248573e-06,1.3399451293816746e-05,8.936178692871327e-06,2.1109617637616982e-05,1.9079068894393292,10.0,0.09999990199,1.0,0.9999702819385669
30000,2.5793870326935956e-05,1.6385679916501894e-05,5.352327401347137e-07,1.6400459958168108e-07,1.2224536735446153e-05,3.295345081637122e-06,2.977876106674818e-06,4.719223055362291,10.0,0.09910899108999913,1.0,1.0
31000,2.115125689192283e-05,1.2565532167060706e-05,4.7739163335713e-07,1.5050864516963836e-07,2.5125776743807888e-05,9.686966864261215e-07,2.1426834634618757e-06,3.1105872175774576,10.0,0.0991089999108911,1.0,1.0
32000,2.8184242682298234e-05,9.738541764066338e-06,1.2959531997701195e-06,3.084962587750148e-07,6.436954137350858e-06,3.0440174397528885e-06,7.851284328214244e-06,1.070896945893244,10.0,0.09990198019810892,1.0,1.0
33000,4.4296158646786366e-05,1.0318026059682886e-05,5.051604448939453e-07,7.800834898442091e-07,9.701588211771582e-06,4.520561981573239e-06,1.8384032559752978e-05,5.052535143897743,10.0,0.09910899990198913,1.0,1.0
34000,2.7921243800213815e-05,1.1195142512195025e-05,9.810432201869426e-07,1.219865789769195e-07,1.293583736572141e-06,2.2774181426494544e-06,2.216003271164931e-06,2.3863570188734293,10.0,0.01089019801098109,1.0,1.0
35000,1.9764846366349238e-05,1.3761609748476683e-05,4.73964448616768e-07,1.2946245465209277e-07,1.7798147318142484e-06,1.82004002219218e-06,1.3916619797978618e-06,2.906926234576699,10.0,0.09019899910810891,1.0,1.0
36000,1.569278225208783e-05,9.59463527177537e-06,1.6625504141025238e-07,1.0014061135432928e-07,6.153478289720752e-06,2.28717634323794e-06,1.0079288360276507e-06,8.648754669885966,10.0,0.09999108990189101,1.0,1.0
37000,2.3524971133302003e-05,1.3028552976794046e-05,4.352358149249112e-07,2.4507998593086276e-07,2.1847400606945637e-06,2.3295626431075234e-06,5.054414001154972e-06,5.422548854928882,10.0,0.010891089010980098,1.0,1.0
38000,1.9482470084093268e-05,1.0404050701818031e-05,5.436936437699299e-07,2.3713658355332717e-07,1.5923766724566205e-06,1.948170948096489e-06,4.163464724198426e-06,3.3423053387781505,10.0,0.09010090089991091,1.0,1.0
39000,9.792165564388163e-06,6.213464300793025e-06,1.3359078316466024e-07,4.3245056086618144e-08,5.685679384661572e-06,1.1466410967968475e-06,6.99454879644419e-07,2.8679028104465027,10.0,0.0991089999999911,1.0,1.0
40000,2.2573693947485218e-05,6.4142440090163615e-06,5.42490158332491e-07,2.948623468919884e-07,6.882694150118384e-07,6.41501355631089e-07,7.096146543377801e-06,2.652045151061864,10.0,0.09099991989108912,1.0,1.0
41000,2.154613637048988e-05,1.1476782220354074e-05,1.9232894545678415e-06,1.20686860522877e-07,7.5672690235580765e-06,1.6067516551671002e-06,2.0727798016675308e-06,1.7242848964004691,10.0,0.09108901989019892,1.0,1.0
42000,1.3677638688428064e-05,7.66780255264765e-06,1.2890557899902365e-07,4.9892137671145935e-08,2.5227185119096194e-05,9.402104210268911e-07,1.0449257905647765e-06,4.774009970183043,10.0,0.09910891089108911,1.0,1.0
43000,1.4347576839829964e-05,6.72070106542859e-06,5.213511253162759e-07,1.5040715956660922e-07,2.502062194378688e-07,1.890369722342103e-06,3.5688441344761158e-06,1.9767138351923876,10.0,0.0019810891089019887,1.0,1.0
44000,1.6837676802101357e-05,5.4756233464894626e-06,3.968862157571068e-07,1.884532572748608e-07,1.5095986848359423e-06,1.8097503480110556e-06,5.431267211647793e-06,2.120141236175797,10.0,0.09010891980198912,1.0,1.0
45000,1.2951472809709106e-05,4.606478141538991e-06,5.491925028717928e-07,1.1582982685477199e-07,4.4166617894967896e-07,2.8882186403270483e-06,1.9184322752683413e-06,1.270176071842547,10.0,0.09999999999108912,1.0,1.0
46000,9.304632171535646e-06,7.62164565306807e-06,1.1280774798952407e-07,2.6459055548147416e-08,1.4325369085095408e-06,2.807904521343764e-07,4.486924964074436e-07,4.976479646623316,10.0,0.0910810801891001,1.0,1.0
47000,1.8020157423567976e-05,4.3223390694520465e-06,1.9324875452704613e-07,3.247179265093711e-07,7.948641702783135e-07,2.1862223527504205e-06,7.522446809728931e-06,3.608277757247677,10.0,0.0999999910890199,1.0,1.0
48000,9.024194428517654e-06,4.954611136023576e-06,2.4885909031744624e-07,9.085835802809191e-08,4.204951675333298e-07,1.5338077009390714e-06,1.324397908446249e-06,7.669168324286276,10.0,0.001089108910900891,1.0,1.0
49000,5.287513516017023e-06,3.4224792038584542e-06,7.084244464057683e-08,1.7943722845734058e-08,7.156657383126886e-07,7.263666556139008e-07,4.5374311503726634e-07,4.144679808157452,10.0,0.0910891089999109,1.0,1.0
50000,1.1482534436206013e-05,3.4756725352823957e-06,2.177387635564127e-07,6.24141132878781e-08,6.685190350691923e-07,2.2599761349453985e-06,1.1616907019987913e-06,4.161793384803759,10.0,0.09990198910899992,1.0,1.0
51000,7.652998051726056e-06,3.947775066544829e-06,1.1391406318764275e-06,1.4211518388657525e-07,2.334379336798252e-06,7.019872841947589e-07,8.572971517301892e-07,1.7688823203812192,10.0,0.010008901981080197,1.0,1.0
52000,9.81706398373365e-06,3.930520151979936e-06,3.2370125014647386e-07,6.868463506057069e-08,6.334312801661637e-07,2.9756700756841194e-06,1.2055364636479118e-06,11.346955804827289,10.0,0.0108910891089999,1.0,1.0
53000,4.968655667617871e-06,2.864719939111237e-06,7.930255352920137e-08,3.724054251257416e-08,4.272070374820683e-06,3.2796291379728253e-07,7.754798828008342e-07,3.0409519646074425,10.0,0.09901098010981002,1.0,1.0
54000,5.425141898197974e-06,2.933847433512074e-06,3.377757990041632e-07,2.259476875329747e-08,5.102442497293633e-07,5.435172563127164e-07,2.985319615436324e-07,1.8450278767483312,10.0,0.09108910899991082,1.0,1.0
55000,6.143382563906789e-06,2.47676373038802e-06,1.2057226728339975e-07,2.824119881051244e-08,5.321139963051072e-07,6.262930712910289e-07,5.044206185405248e-07,3.725513514995561,10.0,0.09990198999901982,1.0,1.0
56000,4.386582662554969e-06,1.8654512019974206e-06,3.9771273169983614e-08,6.856770475111873e-08,2.5777504726950863e-07,3.0507094891070464e-07,1.3939069483255297e-06,6.0883694547898815,10.0,0.0910810810810811,1.0,1.0
57000,6.008514260943939e-06,2.62074644685966e-06,6.074368665599044e-08,8.113084055633368e-08,3.5136877651419893e-07,3.7637270604770346e-07,2.0741091300400385e-06,2.5606985281181567,10.0,0.09999999108901991,1.0,1.0
58000,5.521966596368141e-06,1.9844551222883324e-06,9.420327823284878e-08,4.631006650915308e-08,1.0620434951946696e-06,1.6300639403907229e-06,1.0215311212673787e-06,4.311652587217141,10.0,0.09910891090000001,1.0,1.0
59000,5.661294152416006e-06,3.1785416315057478e-06,3.520623009493327e-07,4.331831677156641e-08,4.56439035612727e-06,6.739291417541242e-07,7.074296946040303e-07,2.6137048814306936,10.0,0.09910890198901981,1.0,1.0
60000,4.470745954702493e-06,1.8162336763102913e-06,5.417645237024132e-08,6.510502379327252e-08,1.0591199887319024e-06,4.0362323426435717e-07,1.1453719473866456e-06,4.042620878983115,10.0,0.0990198019899902,1.0,1.0
61000,2.8088071554603217e-06,2.001880597286814e-06,4.630430204107271e-08,1.577021446382395e-08,1.4853329652345028e-07,2.312833978350571e-07,1.6576061639468404e-07,3.190799841688845,10.0,0.09108100089019891,1.0,1.0
62000,3.929205855924203e-06,1.8482596763460845e-06,8.274579505060691e-08,4.0630573485175054e-08,1.1343154151833164e-06,5.249290901674303e-07,5.435938555894477e-07,4.040449607396329,10.0,0.0999108910890199,1.0,1.0
63000,4.652208091426953e-06,1.6574536671348917e-06,6.15806947584886e-08,6.27017412237083e-08,1.1660550115147956e-06,5.713111601295705e-07,1.4864172004488612e-06,3.4157064795788115,10.0,0.09910891089109,1.0,0.999992148261842
64000,3.9488332865412465e-06,1.5629388114561812e-06,5.1430544015572846e-08,3.325708612204556e-08,7.161385661919146e-08,2.6147627403651344e-07,8.087792191931629e-07,5.752686059826441,10.0,0.001,1.0,1.0
65000,8.455178361652121e-06,1.8109920191761816e-06,5.939115879214634e-08,1.684160932923702e-07,1.5671843125966105e-06,5.804002139352097e-07,4.020525863387144e-06,11.097115626916656,10.0,0.09910810810810802,1.0,1.0
66000,3.026115459378722e-06,1.6605945530823611e-06,2.8314051220904397e-08,2.6915413369305325e-08,3.7239486199340015e-07,2.8791071161015666e-07,6.92275886798461e-07,4.487066109376958,10.0,0.09991089010981082,1.0,1.0
67000,1.9426871318899386e-06,1.3173902545733876e-06,3.6650349422034334e-08,7.840790000486523e-09,9.271436143824145e-07,2.2549699954007506e-07,1.1709597526968051e-07,1.9134768425824398,10.0,0.09910899999910892,1.0,1.0
68000,2.136611876151683e-06,1.4061948604198064e-06,3.597139018663323e-08,1.0526673698741263e-08,2.747030582106347e-07,3.1826148714064007e-07,1.6086376977522167e-07,3.294944432354436,10.0,0.099910809919802,1.0,1.0
69000,3.7906335648806237e-06,1.8011031906211288e-06,1.157009846360882e-07,2.6923151367274512e-08,4.408918156578284e-07,6.483246411132614e-07,4.0959524478375336e-07,4.88423427394852,10.0,0.01089901989108902,1.0,1.0
70000,2.636653011925183e-06,1.1346339210851838e-06,5.601009313146519e-08,2.1995315382916468e-08,1.2292189342944785e-07,6.76569260594916e-07,4.934595787449469e-07,6.029445106552648,10.0,0.09108901981089021,1.0,1.0
71000,2.0897323808609707e-06,1.3224146895599833e-06,4.24386377009455e-08,1.5139164955629394e-08,5.12064516285614e-08,2.6997999525587803e-07,1.9031805562850854e-07,2.349087685456627,10.0,0.001,1.0,1.0
72000,3.752503212558899e-06,1.8644486409468176e-06,5.156730902256444e-08,4.498493758355415e-08,4.1000038333363485e-07,2.4446069316792315e-07,1.0436209399134972e-06,1.8512825189984001,10.0,0.09901009801000982,1.0,1.0
73000,2.184445569899322e-06,1.1626284802923569e-06,2.1078880444979644e-08,6.845055712811446e-09,1.2884068456119943e-07,2.6238819917285485e-07,1.283997819654014e-07,6.480549827750123,10.0,0.001989990198990189,1.0,1.0
74000,2.372675900945587e-06,1.4806106903371596e-06,3.8154819835513304e-08,1.748936462405408e-08,5.1449602687402904e-08,3.200952319044861e-07,2.8524924492831344e-07,7.189192525051198,10.0,0.0018999109810890194,0.9999923183524451,1.0
75000,1.4864458793060795e-06,9.060150789208245e-07,1.8996653432025088e-08,1.2411518585401795e-08,1.6070701407164057e-07,2.2924738160494547e-07,1.505945648109704e-07,4.721353096797029,10.0,0.090198991089109,1.0,1.0
76000,1.803371320891366e-06,1.034654373690205e-06,4.071420825386323e-08,1.1271930829150357e-08,1.1575777577897393e-07,1.8163698834868205e-07,2.3740557536383289e-07,2.670826579721713,10.0,0.0990108910899919,1.0,1.0
77000,2.5966758414802304e-06,1.1642299864160856e-06,3.820147956442001e-08,1.899840834520551e-08,4.432951752561479e-07,3.0901084708932046e-07,5.622955044970557e-07,3.2130364108414327,10.0,0.09910890109801099,1.0,1.0
78000,2.7028618026958428e-06,1.6506355930658343e-06,4.052552287888037e-08,2.6679407175049342e-08,1.9504961530675602e-07,2.3326362034624294e-07,4.774564188367842e-07,3.642769579448278,10.0,0.001098910891089109,1.0,1.0
79000,1.4999571078588774e-06,7.712446494055749e-07,1.3981377358592823e-08,1.56449804105831e-08,3.110007599364421e-07,2.2033873918762087e-07,2.8114363607123017e-07,5.340348975883041,10.0,0.09901098010989012,1.0,0.999999999999718
80000,2.832735633592468e-06,9.80874746098296e-07,6.741688302911672e-08,3.4288630099700534e-08,9.369613296663296e-08,2.174551885372314e-07,1.0710410192171793e-06,1.4624116747700717,10.0,0.09990198108901982,1.0,1.0
81000,7.299034585519964e-07,5.89221541382836e-07,1.784587752667359e-08,1.6681201515276017e-09,5.361344605840196e-08,3.821222474104732e-08,1.761478003817243e-08,1.814094988403028,10.0,0.09901989999010981,1.0,1.0
82000,7.938252066720934e-07,6.510920151009988e-07,7.980220731874783e-09,3.886246936197138e-09,6.494583504554662e-08,4.611106775323847e-08,3.5846443685818637e-08,5.210538087351442,10.0,0.0910899910810811,1.0,1.0
83000,9.920631200115627e-07,7.687875188979277e-07,4.2377695664444615e-08,3.5444136143802037e-09,6.162679052138245e-08,9.127190586267003e-08,4.582385633918471e-08,1.9481603945721833,10.0,0.009910980198901008,1.0,1.0
84000,1.4343060181850485e-06,1.1728386279765344e-06,1.1387801984408093e-07,4.210984073128061e-09,6.04212271165098e-08,4.4839414915255854e-08,4.9893434136258393e-08,2.2601508309342213,10.0,0.0010000000000000002,1.0,1.0
85000,2.1339209299425766e-06,1.6421197642837582e-06,4.1004640367964076e-08,9.331744964572717e-09,9.983830049227842e-08,1.033551493898163e-07,1.8913209972057465e-07,3.3792468576175176,10.0,0.0010000891,1.0,1.0
86000,1.3826187569489524e-06,1.0913661032386865e-06,2.801291101043872e-08,6.341737558695052e-09,4.519543668811131e-08,7.882875823103992e-08,9.438142190730699e-08,3.2178083504028385,10.0,0.0010000000000000009,1.0,1.0
87000,7.140939746098351e-07,5.781569762306213e-07,1.8436457316237147e-08,2.2070968903286967e-09,3.770654563095197e-08,4.4633160216400703e-08,2.4206968749783327e-08,2.249041655593017,10.0,0.009919000080108908,1.0,1.0
88000,1.214857855755241e-06,8.174383592965303e-07,4.142898920535011e-08,4.874392955887007e-09,2.144236732306483e-07,1.1125728844754905e-07,8.277602866281793e-08,3.4661309718189663,10.0,0.09901989901900891,1.0,1.0
89000,1.1003933133326466e-06,9.804399442722612e-07,1.0634034290101391e-08,2.610856971369553e-09,3.9838619888091544e-08,3.520306113579458e-08,4.132217448241216e-08,4.55467770512723,10.0,0.001009008901891098,1.0,1.0
90000,9.10290088568169e-07,5.65013652458221e-07,2.265202761295654e-08,5.981203950587947e-09,1.0095338005199172e-07,8.462492771857847e-08,7.97912486943433e-08,2.7008050863139212,10.0,0.0991089019891089,1.0,1.0
91000,7.671432150205583e-07,5.597096213326896e-07,3.0154849920870876e-08,4.40811392129307e-09,1.144150328099562e-07,4.641881465163921e-08,5.374664604569e-08,1.5632050810152855,10.0,0.0991089010891,1.0,1.0
92000,8.020161397584699e-07,6.297040599871718e-07,4.363688293690017e-08,2.5058635362937427e-09,4.001756801441591e-08,5.1857964725567366e-08,2.5788348113401996e-08,1.8773090589241845,10.0,0.0018910000891089098,1.0,1.0
93000,8.441932212085294e-07,7.045329404916977e-07,9.93089366292564e-09,1.752470722702886e-09,4.035403920584591e-08,8.247174815685896e-08,2.951921926138365e-08,4.609263055278426,10.0,0.010899010981080098,1.0,1.0
94000,6.13528194579209e-07,4.66667338714931e-07,9.729016150648672e-09,2.1303826210035234e-09,3.41099021494277e-08,4.517427207373646e-08,4.04328511720687e-08,2.0968686185494887,10.0,0.00100891008910892,1.0,1.0
95000,6.231991464195725e-07,4.803618864567049e-07,1.3656171080001853e-08,2.2311123369181904e-09,3.756810056956225e-08,4.7963076516097746e-08,3.0566262622578e-08,3.1312378271535883,10.0,0.0019801989999019888,1.0,1.0
96000,6.175738591486552e-07,5.269275655401306e-07,5.356177474743319e-09,1.656378322627265e-09,3.6842193031180426e-08,3.1345539045759886e-08,2.0697592682230713e-08,11.040551685412245,10.0,0.001,1.0,1.0
97000,5.172937461805441e-07,4.006840326100356e-07,5.674429092560301e-09,1.2323544809503998e-09,4.901912306395966e-08,7.132922058801162e-08,1.3590381447088828e-08,1.9669870659578927,10.0,0.09910890198010981,1.0,1.0
98000,5.969879156557389e-07,4.490661707184877e-07,1.8008142569989534e-08,3.5524301820392156e-09,3.916330623455019e-08,6.547697813779536e-08,2.6763680722741147e-08,2.481603165673656,10.0,0.0099100000000891,1.0,1.0
99000,5.239768201990364e-07,4.240096278359315e-07,7.165660234232536e-09,1.4598572012146156e-09,4.633009913814516e-08,4.951301562583479e-08,1.539156755610318e-08,2.362177012663907,10.0,0.099019801900802,1.0,1.0
100000,6.214336914994112e-07,5.117587981139659e-07,8.795202086342871e-09,1.7240303373349793e-09,5.091789583659592e-08,4.359077081155078e-08,1.8876522852106205e-08,9.638674219843807,10.0,0.009910981089108909,1.0,1.0
