epoch,total,pde,phi,pi,bc,lambda_phi,lambda_pi,lambda_bc
16000,0.0006812863356563591,0.0006454098153943413,3.2422750906462126e-07,3.336837134087564e-07,0.00011693222146800909,100.0,10.0,0.001
17000,0.000730754125892286,0.0006593154091029062,5.668053088332192e-07,1.466243510387409e-06,9.575080218376573e-05,100.0,10.0,0.001
18000,0.0006147222888231132,0.0005756022706593332,3.664361090126579e-07,2.384729087912609e-07,9.167817460162177e-05,100.0,10.0,0.001
19000,0.0006943031933174646,0.0006049773017334078,8.883588284066507e-07,3.940401791028795e-08,9.596856428883381e-05,100.0,10.0,0.001
20000,0.0006023487553980496,0.0005439832650856414,5.449378078982312e-07,3.757707869240645e-07,0.00011400165334444801,100.0,10.0,0.001
21000,0.000621272520106369,0.000536473316892698,7.977451849745905e-07,4.906041663411765e-07,0.0001186430528000955,100.0,10.0,0.001
22000,0.0005836343498348156,0.0005277888995384109,5.485570094050338e-07,8.674002959456961e-08,0.00012234905995564261,100.0,10.0,0.001
23000,0.0005518055072701321,0.0005156477086711044,2.831173696228314e-07,7.74936199024862e-07,9.669964649604537e-05,100.0,10.0,0.001
24000,0.0005570439042773817,0.0005168534783630025,3.9732461634600023e-07,3.7040333348657994e-08,8.756094629260559e-05,100.0,10.0,0.001
25000,0.0007770330976160664,0.000509649683663082,2.7311499358678157e-06,3.8900526404675695e-08,0.00013693381726070778,99.7708833692019,10.0,0.001
26000,0.0005704299281064296,0.0004707100731454231,8.662862471579866e-07,1.2998875953141175e-06,9.23542920667949e-05,100.0,10.0,0.001
27000,0.0005433094980385115,0.0004560918558399752,8.609235025773641e-07,1.0385202465885737e-07,8.677169421131311e-05,100.0,10.0,0.001
28000,0.0008549020114681765,0.0004756316843091129,3.520869564667852e-06,2.815767586234877e-06,0.00016526535159114148,99.96763383304234,10.0,0.001
29000,0.00045414508783604284,0.00044002425346496225,1.0643806617677471e-07,3.3932943760051886e-07,8.373337739795306e-05,100.0,10.0,0.001
30000,0.00043107588703116825,0.00040305482184215945,2.6612188657015796e-07,1.327528785849589e-07,8.134774614340573e-05,100.0,10.0,0.001
31000,0.0004194961222897614,0.0004103988983838955,8.688495974542479e-08,3.280089250314535e-08,8.071900629192848e-05,100.0,10.0,0.001
32000,0.00040372764052005057,0.0003964360918967167,6.656410741700355e-08,5.5601835341489804e-08,7.911952821861595e-05,100.0,10.0,0.001
33000,0.000475233521137256,0.0004015264465390459,7.644620516335008e-07,3.684992774598163e-08,8.77019483927507e-05,99.58201564300481,10.0,0.001
34000,0.0003855724568386323,0.00035702815585617764,2.7041742231188195e-07,1.418319656728681e-07,8.423909453773061e-05,100.0,10.0,0.001
35000,0.0003975229596268426,0.00037570240248532746,1.890992482159405e-07,2.8126116310813424e-07,9.802068883975313e-05,100.0,10.0,0.001
36000,0.00037003637935240335,0.00035425185386824866,1.4878808760250496e-07,7.93572388261095e-08,0.0001121443356430997,100.0,10.0,0.001
37000,0.0003489973891033529,0.0003380060789320278,1.0649198828242462e-07,2.3283954296032837e-08,0.00010927180012231722,100.0,10.0,0.001
38000,0.00034915282045607583,0.00033455856277003445,1.3730731844304147e-07,7.432514976175297e-08,0.00012027434411969867,100.0,10.0,0.001
39000,0.0003254718447868573,0.00031900016881228864,6.066412018084255e-08,2.7679012281189388e-08,0.00012847383367247823,100.0,10.0,0.001
40000,0.00030604180516468824,0.00029978062385547637,5.900995834265594e-08,2.128272113406298e-08,0.00014735826360564124,100.0,10.0,0.001
41000,0.0003120326888484884,0.0002963995242512711,1.514433614964047e-07,3.355720556092759e-08,0.00015325639196751758,100.0,10.0,0.001
42000,0.00029669250446974396,0.00028607309845364766,1.0064249155737878e-07,3.733303873181462e-08,0.00018182647304026975,100.0,10.0,0.001
43000,0.00028734599620928314,0.0002773888810076793,9.470639626348611e-08,2.7696296580993058e-08,0.0002095126094453365,100.0,10.0,0.001
44000,0.0002811936172945765,0.0002744687740151403,5.61500444902003e-08,8.871391500462122e-08,0.0002226996803699172,100.0,10.0,0.001
45000,0.0002853305835515044,0.00027354169531583413,1.1091271527711659e-07,4.505936690611246e-08,0.00024702303889750265,100.0,10.0,0.001
46000,0.00026621259311874655,0.00026190107003319424,3.752400913657636e-08,2.85064812252175e-08,0.00027405735964250796,100.0,10.0,0.001
47000,0.0002716229747626425,0.00025554141955061005,1.5633961154372485e-07,1.7203729182313022e-08,0.00027555676583687416,100.0,10.0,0.001
48000,0.00025426746985353783,0.0002454660864727506,8.278293530106276e-08,2.3419720352844955e-08,0.0002888926471525107,100.0,10.0,0.001
49000,0.0002443373072016586,0.00023947512314091905,4.198244446942585e-08,3.718932538935856e-08,0.0002920463599034231,100.0,10.0,0.001
50000,0.0002446540118766103,0.00024120650746156804,2.9125742149303374e-08,2.1335676569433108e-08,0.00032157343441759876,100.0,10.0,0.001
51000,0.0002378338681211943,0.00023279890414460802,4.257293241023785e-08,4.3539926859984783e-08,0.00034227146696268234,100.0,10.0,0.001
52000,0.00022943774168188527,0.00022532325071808587,3.419548602460309e-08,3.319257118705972e-08,0.0003630166494684859,100.0,10.0,0.001
53000,0.00022868954071117128,0.00022363358191612517,4.4736087007363306e-08,1.90247259409535e-08,0.00039210283490022374,100.0,10.0,0.001
54000,0.00023106197424429688,0.00022314026741881567,7.317541134178243e-08,1.9598076915901863e-08,0.0004081849221439398,100.0,10.0,0.001
55000,0.00021679380781403461,0.0002106852777532444,5.513068466004618e-08,1.8730340991646967e-08,0.00040815818486915253,100.0,10.0,0.001
56000,0.00021064572255882655,0.0002072225766455186,2.87641010212292e-08,1.0949379670870717e-08,0.0004372420144762994,100.0,10.0,0.001
57000,0.0002035529118432035,0.00019869958323736643,3.67516738649209e-08,7.203240974300624e-08,0.00045783712191493214,100.0,10.0,0.001
58000,0.00019743984768515974,0.00019446650268345478,2.3275289305990332e-08,1.7455538683072236e-08,0.00047126068427524236,100.0,10.0,0.001
59000,0.00020217344317332184,0.00019866787809865656,2.589417440918512e-08,4.346271789986006e-08,0.00048152045474817687,100.0,10.0,0.001
60000,0.00018912224553105218,0.00018528794861563574,3.220907266578616e-08,1.2687622222010892e-08,0.00048651342661772774,100.0,10.0,0.001
61000,0.00018994669459814783,0.00018794736001956561,1.4332890446128369e-08,6.677486505956642e-09,0.0004992706689097996,100.0,10.0,0.001
62000,0.00018715524683619397,0.00018278899232066767,3.651674555427888e-08,1.5309799755960913e-08,0.000561481962538793,100.0,10.0,0.001
63000,0.00018590613827975728,0.0001830252258558427,2.0856378507965734e-08,1.953999344503871e-08,0.0005998746386676259,100.0,10.0,0.001
64000,0.00018165600781357838,0.00017953207904382017,1.500535930038388e-08,7.854428252228769e-09,0.0005448485571975058,100.0,10.0,0.001
65000,0.00017292996480497641,0.00017096652981432294,1.3088802566375158e-08,8.53431370298736e-09,0.0005692115969861079,100.0,10.0,0.001
66000,0.00016698854923795698,0.0001651043411612581,1.1669930421485488e-08,8.939764995449908e-09,0.0006278173845958356,100.0,10.0,0.001
67000,0.00016956849978629645,0.00016693371369921853,1.9401199008801023e-08,6.0898266119609394e-09,0.0006337679200782105,100.0,10.0,0.001
68000,0.00017149565010513,0.00016885877196214547,1.9712231474378683e-08,4.500674986320111e-09,0.0006206482456834471,100.0,10.0,0.001
69000,0.00017154960312143792,0.00016967417926834981,1.1558513895622147e-08,5.580461094335668e-09,0.000663767852582554,100.0,10.0,0.001
70000,0.00016794587282551232,0.00016636824411261626,8.372465634898705e-09,6.592824333902821e-09,0.000674453906067156,100.0,10.0,0.001
71000,0.00015818420117855994,0.0001560265311304573,1.3951422439149397e-08,6.505823435159248e-09,0.0006974695698360966,100.0,10.0,0.001
72000,0.00014903413347797518,0.00014761724326796017,6.7202663931876206e-09,3.7173324363008807e-09,0.0007076902463332148,100.0,10.0,0.001
